Date,Close
2015-10-01,93.17
2015-10-02,93.93
2015-10-05,94.76
2015-10-06,93.42
2015-10-07,94.98
2015-10-08,95.08
2015-10-09,95.37
2015-10-12,95.99
2015-10-13,95.45
2015-10-14,94.53
2015-10-15,97.15
2015-10-16,98.24
2015-10-19,97.94
2015-10-20,97.59
2015-10-21,97.63
2015-10-22,99.53
2015-10-23,100.31
2015-10-26,99.94
2015-10-27,100.19
2015-10-28,100.48
2015-10-29,101.37
2015-10-30,101.03
2015-11-02,102.17
2015-11-03,101.96
2015-11-04,101.94
2015-11-05,102.33
2015-11-06,101.92
2015-11-09,100.84
2015-11-10,101.45
2015-11-11,101.86
2015-11-12,100.27
2015-11-13,99.88
2015-11-16,101.22
2015-11-17,101.5
2015-11-18,102.67
2015-11-19,102.49
2015-11-20,102.48
2015-11-23,102.77
2015-11-24,102.04
2015-11-25,101.96
2015-11-27,102.37
2015-11-30,101.24
2015-12-01,102.36
2015-12-02,102.05
2015-12-03,100.79
2015-12-04,102.95
2015-12-07,103.32
2015-12-08,102.42
2015-12-09,102.15
2015-12-10,102.64
2015-12-11,101.68
2015-12-14,102.15
2015-12-15,104.13
2015-12-16,105.25
2015-12-17,103.64
2015-12-18,101.95
2015-12-21,101.58
2015-12-22,102.71
2015-12-23,103.49
2015-12-24,103.72
2015-12-28,103.22
2015-12-29,104.03
2015-12-30,103.78
2015-12-31,102.72
2016-01-04,100.48
2016-01-05,100.9
2016-01-06,100.39
2016-01-07,99.22
2016-01-08,98.16
2016-01-11,97.57
2016-01-12,98.24
2016-01-13,97.02
2016-01-14,98.89
2016-01-15,97
2016-01-19,97.5
2016-01-20,95.75
2016-01-21,95.94
2016-01-22,96.75
2016-01-25,96.4
2016-01-26,101.18
2016-01-27,102.16
2016-01-28,102.27
2016-01-29,104.44
2016-02-01,104.37
2016-02-02,103.41
2016-02-03,104.14
2016-02-04,103.9
2016-02-05,100.54
2016-02-08,102
2016-02-09,101.97
2016-02-10,101.73
2016-02-11,101.7
2016-02-12,101.82
2016-02-16,102.32
2016-02-17,102.5
2016-02-18,104.24
2016-02-19,104.16
2016-02-22,104.75
2016-02-23,104.08
2016-02-24,104.96
2016-02-25,106.38
2016-02-26,105.78
2016-02-29,105.21
