Date,Close
2015-10-01,58.87
2015-10-02,63.2
2015-10-05,63.93
2015-10-06,63.92
2015-10-07,66.28
2015-10-08,67.7
2015-10-09,68.71
2015-10-12,70.3
2015-10-13,69.68
2015-10-14,68.54
2015-10-15,71.78
2015-10-16,71.99
2015-10-19,72.65
2015-10-20,71.79
2015-10-21,69.48
2015-10-22,70.99
2015-10-23,75.62
2015-10-26,76.35
2015-10-27,79.44
2015-10-28,82.35
2015-10-29,82.22
2015-10-30,83.83
2015-11-02,84.35
2015-11-03,83.44
2015-11-04,85.4
2015-11-05,85.38
2015-11-06,83.61
2015-11-09,81.38
2015-11-10,81.43
2015-11-11,79.85
2015-11-12,78.76
2015-11-13,75.85
2015-11-16,78.3
2015-11-17,78.13
2015-11-18,77.69
2015-11-19,77.87
2015-11-20,79.95
2015-11-23,81.31
2015-11-24,80.86
2015-11-25,81.71
2015-11-27,81.38
2015-11-30,84.08
2015-12-01,84
2015-12-02,85
2015-12-03,82.59
2015-12-04,84.85
2015-12-07,84.76
2015-12-08,84.38
2015-12-09,83.42
2015-12-10,84.33
2015-12-11,79.74
2015-12-14,80.57
2015-12-15,82.49
2015-12-16,84.63
2015-12-17,83.56
2015-12-18,82.65
2015-12-21,82.87
2015-12-22,84.84
2015-12-23,84.8
2015-12-24,83.71
2015-12-28,82.14
2015-12-29,83.26
2015-12-30,81.68
2015-12-31,81.27
2016-01-04,76.69
2016-01-05,78.63
2016-01-06,77.33
2016-01-07,72.72
2016-01-08,70.8
2016-01-11,69.92
2016-01-12,72.68
2016-01-13,70.29
2016-01-14,72.25
2016-01-15,69.59
2016-01-19,70.13
2016-01-20,68.71
2016-01-21,70.72
2016-01-22,70.37
2016-01-25,69.72
2016-01-26,69.77
2016-01-27,69.54
2016-01-28,66.92
2016-01-29,67.03
2016-02-01,67.03
2016-02-02,65.09
2016-02-03,63.44
2016-02-04,64.86
2016-02-05,62.64
2016-02-08,61.1
2016-02-09,61.39
2016-02-10,61.78
2016-02-11,60.57
2016-02-12,60.89
2016-02-16,66.29
2016-02-17,66.38
2016-02-18,66.52
2016-02-19,67.28
2016-02-22,68.84
2016-02-23,66.97
2016-02-24,67.23
2016-02-25,66.66
2016-02-26,66.91
2016-02-29,68.81
2016-03-01,70.86
2016-03-02,71.25
2016-03-03,71.02
2016-03-04,72.22
2016-03-07,72.89
2016-03-08,71.07
2016-03-09,72.43
2016-03-10,71.97
2016-03-11,74.01
2016-03-14,73.35
2016-03-15,72.23
2016-03-16,73.5
2016-03-17,74.25
2016-03-18,76.25
2016-03-21,78.11
2016-03-22,78.18
2016-03-23,76.56
2016-03-24,75.86
2016-03-28,76.48
2016-03-29,78.08
2016-03-30,78.86
2016-03-31,79.03
2016-04-01,78.73
2016-04-04,79.08
2016-04-05,77.32
2016-04-06,78.68
2016-04-07,77.61
2016-04-08,77.47
2016-04-11,77.71
2016-04-12,77.86
2016-04-13,79.64
2016-04-14,79.61
2016-04-15,78.97
2016-04-18,79.01
2016-04-19,79.46
2016-04-20,81.21
2016-04-21,80.78
2016-04-22,79.89
2016-04-25,78.84
2016-04-26,78.61
2016-04-27,77.65
2016-04-28,76.4
2016-04-29,76.94
2016-05-02,76.61
2016-05-03,75.91
2016-05-04,75.82
2016-05-05,78.83
2016-05-06,79.2
2016-05-09,79.41
2016-05-10,79.72
2016-05-11,79.8
2016-05-12,79.16
2016-05-13,77.16
2016-05-16,79.29
2016-05-17,79.35
2016-05-18,79.03
2016-05-19,78.32
2016-05-20,78.79
2016-05-23,79
2016-05-24,81.12
2016-05-25,75.59
2016-05-26,78.35
2016-05-27,80.97
2016-05-31,82
2016-06-01,76.69
2016-06-02,77.3
2016-06-03,76.62
2016-06-06,78.06
2016-06-07,77.84
2016-06-08,77.64
2016-06-09,77.56
2016-06-10,75.92
2016-06-13,75.45
2016-06-14,77.77
2016-06-15,78.39
2016-06-16,78.27
2016-06-17,77
2016-06-20,78.15
2016-06-21,78.62
2016-06-22,78.73
2016-06-23,79.14
2016-06-24,76.29
2016-06-27,74.23
2016-06-28,76.28
2016-06-29,78.04
2016-06-30,79.53
2016-07-01,79.65
2016-07-05,78.97
2016-07-06,78.64
2016-07-07,79.35
2016-07-08,78.99
2016-07-11,81.46
2016-07-12,81.74
2016-07-13,80.57
2016-07-14,81.74
2016-07-15,81.25
2016-07-18,82.65
2016-07-19,82.77
2016-07-20,84.42
2016-07-21,84.18
2016-07-22,84.49
